Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	FoldEnrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	hsa05162:Measles	5	12.19512195	0.003110763	"IL1A, GSK3B, IL6, IL1B, TP53"	40	139	8865	7.972122302	0.423893785	0.032388533	0.026715965
GOTERM_BP_DIRECT	GO:0035094~response to nicotine	3	7.317073171	0.003382228	"CNR1, DRD2, SLC6A3"	41	42	19416	33.82578397	0.98336165	0.051718127	0.047736516
GOTERM_BP_DIRECT	GO:0046427~positive regulation of receptor signaling pathway via JAK-STAT	3	7.317073171	0.00354261	"IL10, IL6, TNF"	41	43	19416	33.03913783	0.986303566	0.053493408	0.049375124
GOTERM_CC_DIRECT	GO:0043204~perikaryon	4	9.756097561	0.003711617	"APP, CNR2, LRRK2, DRD2"	41	161	20666	12.52295107	0.466571491	0.031363163	0.024496671
GOTERM_BP_DIRECT	GO:0008284~positive regulation of cell population proliferation	6	14.63414634	0.003810475	"CSF1R, IL6, IL1B, HTR1A, HTR2A, FGFR2"	41	511	19416	5.560402845	0.990104382	0.056751739	0.052382607
GOTERM_BP_DIRECT	GO:0010629~negative regulation of gene expression	5	12.19512195	0.003877728	"GSK3B, APP, PSEN1, TNF, LDLR"	41	314	19416	7.540779866	0.990880007	0.056751739	0.052382607
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	4	9.756097561	0.003899333	"IL1A, CSF1R, IL6, IL1B"	41	154	19416	12.30028508	0.99111605	0.056751739	0.052382607
GOTERM_MF_DIRECT	GO:0005515~protein binding	37	90.24390244	0.003999946	"CRP, CSF1R, APP, GSK3B, THRB, MAOB, MAOA, LRRK2, PSEN2, HTR2C, HTR2A, PSEN1, TNF, SLC6A3, SLC6A4, CNR2, CNR1, CA2, SCN9A, DRD2, LDLR, DRD4, IL10, PDE2A, HTR1A, NR1H4, HTR3A, HCRTR2, SOD1, PER2, IL1A, IL6, MTNR1A, MTNR1B, IL1B, TP53, FGFR2"	41	13670	19208	1.268035756	0.65149243	0.099478622	0.092291953
GOTERM_BP_DIRECT	GO:0045429~positive regulation of nitric oxide biosynthetic process	3	7.317073171	0.004044676	"APP, IL1B, TNF"	41	46	19416	30.88441145	0.992552887	0.057817897	0.053366685
GOTERM_CC_DIRECT	GO:0043197~dendritic spine	4	9.756097561	0.00411204	"GABRB3, GABRA1, APP, DRD2"	41	167	20666	12.07302468	0.501607572	0.033092132	0.025847109
GOTERM_BP_DIRECT	GO:0002439~chronic inflammatory response to antigenic stimulus	2	4.87804878	0.004116175	"IL10, TNF"	41	2	19416	473.5609756	0.993172014	0.057817897	0.053366685
GOTERM_BP_DIRECT	GO:0021769~orbitofrontal cortex development	2	4.87804878	0.004116175	"DRD2, FGFR2"	41	2	19416	473.5609756	0.993172014	0.057817897	0.053366685
GOTERM_MF_DIRECT	"GO:0071886~1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding"	2	4.87804878	0.004160703	"HTR2C, HTR2A"	41	2	19208	468.4878049	0.665977736	0.099478622	0.092291953
GOTERM_BP_DIRECT	GO:0051209~release of sequestered calcium ion into cytosol	3	7.317073171	0.004396678	"HTR2C, HTR2A, DRD2"	41	48	19416	29.59756098	0.99514285	0.060575691	0.055912165
GOTERM_BP_DIRECT	GO:0006955~immune response	6	14.63414634	0.004412799	"IL10, IL1A, IL6, CNR2, IL1B, TNF"	41	529	19416	5.371201992	0.99523701	0.060575691	0.055912165
GOTERM_BP_DIRECT	GO:0051781~positive regulation of cell division	3	7.317073171	0.004577824	"IL1A, IL1B, FGFR2"	41	49	19416	28.99352912	0.996102018	0.06213496	0.057351391
GOTERM_BP_DIRECT	GO:0051384~response to glucocorticoid	3	7.317073171	0.004762381	"IL10, IL6, TNF"	41	50	19416	28.41365854	0.996884834	0.063921738	0.059000611
KEGG_PATHWAY	hsa04932:Non-alcoholic fatty liver disease	5	12.19512195	0.004808622	"IL1A, GSK3B, IL6, IL1B, TNF"	40	157	8865	7.058121019	0.573941661	0.046044374	0.037980105
KEGG_PATHWAY	hsa05140:Leishmaniasis	4	9.756097561	0.004942616	"IL10, IL1A, IL1B, TNF"	40	79	8865	11.22151899	0.583975971	0.046044374	0.037980105
GOTERM_BP_DIRECT	GO:0008542~visual learning	3	7.317073171	0.005141672	"APP, HRH1, DRD2"	41	52	19416	27.32082552	0.998035107	0.068254285	0.062999609
GOTERM_BP_DIRECT	GO:0014823~response to activity	3	7.317073171	0.005336378	"IL10, IL6, TNF"	41	53	19416	26.80533824	0.998449157	0.069315533	0.063979155
GOTERM_BP_DIRECT	GO:1904707~positive regulation of vascular associated smooth muscle cell proliferation	3	7.317073171	0.005336378	"IL10, TNF, FGFR2"	41	53	19416	26.80533824	0.998449157	0.069315533	0.063979155
GOTERM_BP_DIRECT	GO:0001660~fever generation	2	4.87804878	0.006168063	"IL1A, IL1B"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0010513~positive regulation of phosphatidylinositol biosynthetic process	2	4.87804878	0.006168063	"HTR2C, HTR2A"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0038171~cannabinoid signaling pathway	2	4.87804878	0.006168063	"CNR2, CNR1"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0014854~response to inactivity	2	4.87804878	0.006168063	"IL10, DRD2"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0060559~positive regulation of calcidiol 1-monooxygenase activity	2	4.87804878	0.006168063	"IL1B, TNF"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0051563~smooth endoplasmic reticulum calcium ion homeostasis	2	4.87804878	0.006168063	"APP, PSEN1"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_BP_DIRECT	GO:0051586~positive regulation of dopamine uptake involved in synaptic transmission	2	4.87804878	0.006168063	"DRD2, DRD4"	41	3	19416	315.7073171	0.999435901	0.074510198	0.0687739
GOTERM_MF_DIRECT	GO:0097621~monoamine oxidase activity	2	4.87804878	0.00623472	"MAOB, MAOA"	41	3	19208	312.3252033	0.806961245	0.109315422	0.10141811
GOTERM_MF_DIRECT	GO:0001587~Gq/11-coupled serotonin receptor activity	2	4.87804878	0.00623472	"HTR2C, HTR2A"	41	3	19208	312.3252033	0.806961245	0.109315422	0.10141811
GOTERM_MF_DIRECT	"GO:0001591~dopamine neurotransmitter receptor activity, coupled via Gi/Go"	2	4.87804878	0.00623472	"DRD2, DRD4"	41	3	19208	312.3252033	0.806961245	0.109315422	0.10141811
GOTERM_MF_DIRECT	GO:0004949~cannabinoid receptor activity	2	4.87804878	0.00623472	"CNR2, CNR1"	41	3	19208	312.3252033	0.806961245	0.109315422	0.10141811
GOTERM_BP_DIRECT	GO:0050890~cognition	3	7.317073171	0.006359952	"APP, TNF, SLC6A3"	41	58	19416	24.49453322	0.999553351	0.076067545	0.070211351
GOTERM_MF_DIRECT	GO:0005507~copper ion binding	3	7.317073171	0.006712366	"IL1A, TP53, SOD1"	41	59	19208	23.82141381	0.829888931	0.110334513	0.102363579
GOTERM_CC_DIRECT	GO:0043679~axon terminus	3	7.317073171	0.006826715	"SCN9A, DRD2, SLC6A3"	41	64	20666	23.62728659	0.6857828	0.05244158	0.040960287
GOTERM_BP_DIRECT	GO:0042531~positive regulation of tyrosine phosphorylation of STAT protein	3	7.317073171	0.007013634	"CSF1R, IL6, TNF"	41	61	19416	23.28988405	0.999798427	0.083063434	0.07666865
KEGG_PATHWAY	hsa05020:Prion disease	6	14.63414634	0.007035121	"IL1A, GSK3B, IL6, IL1B, TNF, SOD1"	40	278	8865	4.783273381	0.713385523	0.05870202	0.048420876
KEGG_PATHWAY	hsa01523:Antifolate resistance	3	7.317073171	0.007590335	"IL6, IL1B, TNF"	40	30	8865	22.1625	0.740400171	0.05870202	0.048420876
GOTERM_CC_DIRECT	GO:0098666~G protein-coupled serotonin receptor complex	2	4.87804878	0.007720295	"HTR2C, HTR2A"	41	4	20666	252.0243902	0.730123914	0.056727385	0.04430778
GOTERM_BP_DIRECT	GO:0032757~positive regulation of interleukin-8 production	3	7.317073171	0.007930571	"IL6, IL1B, TNF"	41	65	19416	21.85666041	0.999934028	0.091052485	0.08404265
KEGG_PATHWAY	hsa05152:Tuberculosis	5	12.19512195	0.008071232	"IL10, IL1A, IL6, IL1B, TNF"	40	182	8865	6.088598901	0.761742818	0.05870202	0.048420876
GOTERM_BP_DIRECT	GO:0032731~positive regulation of interleukin-1 beta production	3	7.317073171	0.008167815	"APP, IL6, TNF"	41	66	19416	21.52549889	0.999950594	0.091052485	0.08404265
GOTERM_BP_DIRECT	GO:0042752~regulation of circadian rhythm	3	7.317073171	0.008167815	"PER2, GSK3B, DRD4"	41	66	19416	21.52549889	0.999950594	0.091052485	0.08404265
GOTERM_BP_DIRECT	GO:0002265~astrocyte activation involved in immune response	2	4.87804878	0.008215829	"APP, PSEN1"	41	4	19416	236.7804878	0.999953403	0.091052485	0.08404265
GOTERM_BP_DIRECT	"GO:0099553~trans-synaptic signaling by endocannabinoid, modulating synaptic transmission"	2	4.87804878	0.008215829	"CNR2, CNR1"	41	4	19416	236.7804878	0.999953403	0.091052485	0.08404265
GOTERM_BP_DIRECT	GO:0030730~sequestering of triglyceride	2	4.87804878	0.008215829	"IL1B, TNF"	41	4	19416	236.7804878	0.999953403	0.091052485	0.08404265
GOTERM_BP_DIRECT	GO:0034776~response to histamine	2	4.87804878	0.008215829	"DRD2, DRD4"	41	4	19416	236.7804878	0.999953403	0.091052485	0.08404265
KEGG_PATHWAY	hsa05323:Rheumatoid arthritis	4	9.756097561	0.008243148	"IL1A, IL6, IL1B, TNF"	40	95	8865	9.331578947	0.768941402	0.05870202	0.048420876
KEGG_PATHWAY	hsa04657:IL-17 signaling pathway	4	9.756097561	0.008243148	"GSK3B, IL6, IL1B, TNF"	40	95	8865	9.331578947	0.768941402	0.05870202	0.048420876
GOTERM_MF_DIRECT	GO:0008502~melatonin receptor activity	2	4.87804878	0.008304525	"MTNR1A, MTNR1B"	41	4	19208	234.2439024	0.88844188	0.121338341	0.112572453
GOTERM_MF_DIRECT	GO:0052595~aliphatic amine oxidase activity	2	4.87804878	0.008304525	"MAOB, MAOA"	41	4	19208	234.2439024	0.88844188	0.121338341	0.112572453
GOTERM_BP_DIRECT	GO:0002931~response to ischemia	3	7.317073171	0.008408235	"PER2, CSF1R, TP53"	41	67	19416	21.20422279	0.999963146	0.091505837	0.0844611
GOTERM_BP_DIRECT	GO:1901224~positive regulation of non-canonical NF-kappaB signal transduction	3	7.317073171	0.008408235	"APP, IL1B, TNF"	41	67	19416	21.20422279	0.999963146	0.091505837	0.0844611
GOTERM_BP_DIRECT	GO:0032715~negative regulation of interleukin-6 production	3	7.317073171	0.008898553	"IL10, NR1H4, TNF"	41	69	19416	20.58960764	0.999979733	0.095977249	0.088588272
GOTERM_BP_DIRECT	GO:0033138~positive regulation of peptidyl-serine phosphorylation	3	7.317073171	0.009148423	"APP, IL6, TNF"	41	70	19416	20.29547038	0.999985058	0.096941189	0.089478002
GOTERM_BP_DIRECT	GO:0071466~cellular response to xenobiotic stimulus	3	7.317073171	0.009148423	"IL1B, PDE2A, TP53"	41	70	19416	20.29547038	0.999985058	0.096941189	0.089478002
KEGG_PATHWAY	hsa04750:Inflammatory mediator regulation of TRP channels	4	9.756097561	0.009228949	"HRH1, IL1B, HTR2C, HTR2A"	40	99	8865	8.954545455	0.806234888	0.05870202	0.048420876
KEGG_PATHWAY	hsa04060:Cytokine-cytokine receptor interaction	6	14.63414634	0.009363422	"IL10, IL1A, CSF1R, IL6, IL1B, TNF"	40	298	8865	4.462248322	0.810834607	0.05870202	0.048420876
GOTERM_BP_DIRECT	GO:0042391~regulation of membrane potential	3	7.317073171	0.009401417	"GABRB3, LRRK2, HTR3A"	41	71	19416	20.00961869	0.999989027	0.098755759	0.091152874
KEGG_PATHWAY	hsa04061:Viral protein interaction with cytokine and cytokine receptor	4	9.756097561	0.009485738	"IL10, CSF1R, IL6, TNF"	40	100	8865	8.865	0.814924145	0.05870202	0.048420876
KEGG_PATHWAY	hsa04010:MAPK signaling pathway	6	14.63414634	0.009622392	"IL1A, CSF1R, IL1B, TNF, TP53, FGFR2"	40	300	8865	4.4325	0.819389146	0.05870202	0.048420876
KEGG_PATHWAY	hsa04933:AGE-RAGE signaling pathway in diabetic complications	4	9.756097561	0.009746691	"IL1A, IL6, IL1B, TNF"	40	101	8865	8.777227723	0.823357374	0.05870202	0.048420876
GOTERM_BP_DIRECT	GO:0009791~post-embryonic development	3	7.317073171	0.009916723	"SCN9A, PSEN1, FGFR2"	41	73	19416	19.46140996	0.999994151	0.100759774	0.093002606
GOTERM_CC_DIRECT	GO:0045177~apical part of cell	3	7.317073171	0.009997212	"APP, CA2, LDLR"	41	78	20666	19.38649156	0.816956397	0.070033498	0.05470072
GOTERM_BP_DIRECT	GO:0007195~adenylate cyclase-inhibiting dopamine receptor signaling pathway	2	4.87804878	0.01025948	"DRD2, DRD4"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:0045759~negative regulation of action potential	2	4.87804878	0.01025948	"CNR2, CNR1"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:0033602~negative regulation of dopamine secretion	2	4.87804878	0.01025948	"CNR1, DRD2"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:0014063~negative regulation of serotonin secretion	2	4.87804878	0.01025948	"MAOB, CNR1"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:0036006~cellular response to macrophage colony-stimulating factor stimulus	2	4.87804878	0.01025948	"CSF1R, PDE2A"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:1905908~positive regulation of amyloid fibril formation	2	4.87804878	0.01025948	"APP, PSEN1"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
GOTERM_BP_DIRECT	GO:0060664~epithelial cell proliferation involved in salivary gland morphogenesis	2	4.87804878	0.01025948	"TNF, FGFR2"	41	5	19416	189.4243902	0.999996151	0.100759774	0.093002606
KEGG_PATHWAY	hsa05142:Chagas disease	4	9.756097561	0.010281145	"IL10, IL6, IL1B, TNF"	40	103	8865	8.606796117	0.83945514	0.05870202	0.048420876
KEGG_PATHWAY	hsa05146:Amoebiasis	4	9.756097561	0.010281145	"IL10, IL6, IL1B, TNF"	40	103	8865	8.606796117	0.83945514	0.05870202	0.048420876
GOTERM_CC_DIRECT	GO:0032991~protein-containing complex	6	14.63414634	0.010359985	"APP, PSEN2, PSEN1, TNF, TP53, SOD1"	41	692	20666	4.370365149	0.827949957	0.070033498	0.05470072
GOTERM_MF_DIRECT	GO:0004952~dopamine neurotransmitter receptor activity	2	4.87804878	0.010370127	"DRD2, DRD4"	41	5	19208	187.395122	0.935531814	0.143544391	0.133174264
GOTERM_BP_DIRECT	GO:0043491~phosphatidylinositol 3-kinase/protein kinase B signal transduction	3	7.317073171	0.010712776	"HTR2A, DRD2, TNF"	41	76	19416	18.69319641	0.999997788	0.10436317	0.096328589
KEGG_PATHWAY	hsa04625:C-type lectin receptor signaling pathway	4	9.756097561	0.010832417	"IL10, IL6, IL1B, TNF"	40	105	8865	8.442857143	0.854531849	0.059916806	0.049422902
GOTERM_BP_DIRECT	GO:0032729~positive regulation of type II interferon production	3	7.317073171	0.011536229	"APP, IL1B, TNF"	41	79	19416	17.98332819	0.999999192	0.108446886	0.100097912
GOTERM_CC_DIRECT	GO:0031594~neuromuscular junction	3	7.317073171	0.011784136	"APP, PSEN2, PSEN1"	41	85	20666	17.78995696	0.865116816	0.076596885	0.059827153
GOTERM_BP_DIRECT	GO:0007254~JNK cascade	3	7.317073171	0.012100246	"IL1B, LRRK2, TNF"	41	81	19416	17.53929539	0.999999595	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0001933~negative regulation of protein phosphorylation	3	7.317073171	0.012100246	"LRRK2, PSEN1, DRD2"	41	81	19416	17.53929539	0.999999595	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0071420~cellular response to histamine	2	4.87804878	0.012299026	"GABRB3, HRH1"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0010754~negative regulation of cGMP-mediated signaling	2	4.87804878	0.012299026	"MTNR1B, PDE2A"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0033092~positive regulation of immature T cell proliferation in thymus	2	4.87804878	0.012299026	"IL1A, IL1B"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0040012~regulation of locomotion	2	4.87804878	0.012299026	"LRRK2, HTR1D"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0007208~phospholipase C-activating serotonin receptor signaling pathway	2	4.87804878	0.012299026	"HTR2C, HTR2A"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0032692~negative regulation of interleukin-1 production	2	4.87804878	0.012299026	"IL10, NR1H4"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0007617~mating behavior	2	4.87804878	0.012299026	"APP, MTNR1A"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0033004~negative regulation of mast cell activation	2	4.87804878	0.012299026	"CNR2, CNR1"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0051583~dopamine uptake involved in synaptic transmission	2	4.87804878	0.012299026	"DRD2, SLC6A3"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_BP_DIRECT	GO:0048755~branching morphogenesis of a nerve	2	4.87804878	0.012299026	"DRD2, FGFR2"	41	6	19416	157.8536585	0.999999682	0.108446886	0.100097912
GOTERM_MF_DIRECT	GO:0001586~Gi/o-coupled serotonin receptor activity	2	4.87804878	0.012431534	"HTR1D, HTR1A"	41	6	19208	156.1626016	0.962745623	0.163474671	0.151664714
GOTERM_BP_DIRECT	GO:0032436~positive regulation of proteasomal ubiquitin-dependent protein catabolic process	3	7.317073171	0.012968588	"GSK3B, LRRK2, PSEN1"	41	84	19416	16.91289199	0.99999986	0.112705429	0.104028604
GOTERM_BP_DIRECT	GO:0050731~positive regulation of peptidyl-tyrosine phosphorylation	3	7.317073171	0.012968588	"IL6, HTR2A, TP53"	41	84	19416	16.91289199	0.99999986	0.112705429	0.104028604
GOTERM_CC_DIRECT	GO:0070765~gamma-secretase complex	2	4.87804878	0.013472349	"PSEN2, PSEN1"	41	7	20666	144.0139373	0.898966508	0.084326924	0.065864817
GOTERM_MF_DIRECT	GO:0000976~transcription cis-regulatory region binding	4	9.756097561	0.014000992	"PER2, NR1H4, TNF, TP53"	41	243	19208	7.711733414	0.97548038	0.173206467	0.160693453
GOTERM_BP_DIRECT	GO:0071321~cellular response to cGMP	2	4.87804878	0.014334474	"PDE2A, SLC6A4"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_BP_DIRECT	GO:0090594~inflammatory response to wounding	2	4.87804878	0.014334474	"IL6, TNF"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_BP_DIRECT	GO:0002719~negative regulation of cytokine production involved in immune response	2	4.87804878	0.014334474	"IL10, TNF"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_BP_DIRECT	GO:0098664~G protein-coupled serotonin receptor signaling pathway	2	4.87804878	0.014334474	"HTR2C, HTR2A"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_BP_DIRECT	GO:0021984~adenohypophysis development	2	4.87804878	0.014334474	"DRD2, SLC6A3"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_BP_DIRECT	GO:1990384~hyaloid vascular plexus regression	2	4.87804878	0.014334474	"DRD2, SLC6A3"	41	7	19416	135.3031359	0.999999974	0.119420994	0.110227159
GOTERM_MF_DIRECT	GO:0008131~primary methylamine oxidase activity	2	4.87804878	0.014488754	"MAOB, MAOA"	41	7	19208	133.8536585	0.978472344	0.173206467	0.160693453
GOTERM_BP_DIRECT	GO:0051402~neuron apoptotic process	3	7.317073171	0.014784344	"APP, PSEN1, TP53"	41	90	19416	15.78536585	0.999999985	0.122325261	0.112907836
GOTERM_BP_DIRECT	GO:0035556~intracellular signal transduction	5	12.19512195	0.015355184	"GSK3B, LRRK2, PSEN2, PSEN1, DRD2"	41	468	19416	5.059412133	0.999999993	0.126184094	0.11646959
KEGG_PATHWAY	hsa04722:Neurotrophin signaling pathway	4	9.756097561	0.015512073	"GSK3B, PSEN2, PSEN1, TP53"	40	120	8865	7.3875	0.93715947	0.082674176	0.068194518
KEGG_PATHWAY	hsa04940:Type I diabetes mellitus	3	7.317073171	0.015880915	"IL1A, IL1B, TNF"	40	44	8865	15.11079545	0.941192221	0.082674176	0.068194518
GOTERM_BP_DIRECT	"GO:0051967~negative regulation of synaptic transmission, glutamatergic"	2	4.87804878	0.016365831	"HTR2A, DRD2"	41	8	19416	118.3902439	0.999999998	0.133580569	0.123296634
GOTERM_MF_DIRECT	"GO:0042500~aspartic endopeptidase activity, intramembrane cleaving"	2	4.87804878	0.016541795	"PSEN2, PSEN1"	41	8	19208	117.1219512	0.987560476	0.189151835	0.175486873
KEGG_PATHWAY	hsa05163:Human cytomegalovirus infection	5	12.19512195	0.016829236	"GSK3B, IL6, IL1B, TNF, TP53"	40	226	8865	4.903207965	0.95041787	0.085107849	0.070201955
GOTERM_CC_DIRECT	GO:0005743~mitochondrial inner membrane	5	12.19512195	0.016935735	"APP, LRRK2, PDE2A, PSEN2, PSEN1"	41	513	20666	4.912756145	0.944237438	0.102219257	0.079839893
GOTERM_BP_DIRECT	GO:0007409~axonogenesis	3	7.317073171	0.018038527	"APP, DRD2, FGFR2"	41	100	19416	14.20682927	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:0007220~Notch receptor processing	2	4.87804878	0.018393107	"PSEN2, PSEN1"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:0034205~amyloid-beta formation	2	4.87804878	0.018393107	"PSEN2, PSEN1"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:0015844~monoamine transport	2	4.87804878	0.018393107	"SLC6A3, SLC6A4"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:0009651~response to salt stress	2	4.87804878	0.018393107	"TNF, TP53"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:1903140~regulation of establishment of endothelial barrier	2	4.87804878	0.018393107	"IL1B, TNF"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_BP_DIRECT	GO:0001816~cytokine production	2	4.87804878	0.018393107	"IL1A, IL1B"	41	9	19416	105.2357724	1	0.143347569	0.132311705
GOTERM_CC_DIRECT	GO:0005794~Golgi apparatus	7	17.07317073	0.018487324	"APP, LRRK2, PDE2A, PSEN2, PSEN1, LDLR, FGFR2"	41	1103	20666	3.198858988	0.957301828	0.106310027	0.08303505
GOTERM_CC_DIRECT	GO:0098982~GABA-ergic synapse	3	7.317073171	0.018871602	"GABRA1, CNR1, DRD2"	41	109	20666	13.87290222	0.960036089	0.106310027	0.08303505
GOTERM_MF_DIRECT	GO:0042803~protein homodimerization activity	6	14.63414634	0.019329952	"CSF1R, APP, LRRK2, PDE2A, FGFR2, SOD1"	41	753	19208	3.732970557	0.994104432	0.208734765	0.193655067
SMART	SM00730:PSN	2	4.87804878	0.020147887	"PSEN2, PSEN1"	32	7	10680	95.35714286	0.422789259	0.214609663	0.214609663
GOTERM_BP_DIRECT	GO:0040011~locomotion	2	4.87804878	0.020416309	"PSEN1, HCRTR2"	41	10	19416	94.71219512	1	0.155112584	0.14317097
GOTERM_BP_DIRECT	GO:0051093~negative regulation of developmental process	2	4.87804878	0.020416309	"GSK3B, SOD1"	41	10	19416	94.71219512	1	0.155112584	0.14317097
GOTERM_BP_DIRECT	GO:0003170~heart valve development	2	4.87804878	0.020416309	"GSK3B, PDE2A"	41	10	19416	94.71219512	1	0.155112584	0.14317097
GOTERM_BP_DIRECT	GO:0060670~branching involved in labyrinthine layer morphogenesis	2	4.87804878	0.020416309	"IL10, FGFR2"	41	10	19416	94.71219512	1	0.155112584	0.14317097
GOTERM_MF_DIRECT	GO:0051087~protein-folding chaperone binding	3	7.317073171	0.020531811	"APP, TP53, SOD1"	41	106	19208	13.25908882	0.995729701	0.208734765	0.193655067
GOTERM_MF_DIRECT	GO:0008504~monoamine transmembrane transporter activity	2	4.87804878	0.020635376	"SLC6A3, SLC6A4"	41	10	19208	93.69756098	0.995846822	0.208734765	0.193655067
GOTERM_BP_DIRECT	GO:0060070~canonical Wnt signaling pathway	3	7.317073171	0.021202116	"GSK3B, LRRK2, LDLR"	41	109	19416	13.03378832	1	0.160075973	0.147752244
GOTERM_CC_DIRECT	GO:0031410~cytoplasmic vesicle	4	9.756097561	0.021211733	"LRRK2, HTR2A, FGFR2, SOD1"	41	306	20666	6.588872948	0.973306868	0.115638158	0.090320928
GOTERM_BP_DIRECT	GO:0051481~negative regulation of cytosolic calcium ion concentration	2	4.87804878	0.022435444	"MTNR1B, DRD2"	41	11	19416	86.10199557	1	0.163265161	0.150695907
GOTERM_BP_DIRECT	GO:0050665~hydrogen peroxide biosynthetic process	2	4.87804878	0.022435444	"MAOB, SOD1"	41	11	19416	86.10199557	1	0.163265161	0.150695907
GOTERM_BP_DIRECT	GO:0048149~behavioral response to ethanol	2	4.87804878	0.022435444	"DRD2, DRD4"	41	11	19416	86.10199557	1	0.163265161	0.150695907
GOTERM_BP_DIRECT	GO:0072577~endothelial cell apoptotic process	2	4.87804878	0.022435444	"IL10, TNF"	41	11	19416	86.10199557	1	0.163265161	0.150695907
GOTERM_BP_DIRECT	GO:0060158~phospholipase C-activating dopamine receptor signaling pathway	2	4.87804878	0.022435444	"DRD2, DRD4"	41	11	19416	86.10199557	1	0.163265161	0.150695907
GOTERM_BP_DIRECT	GO:0006983~ER overload response	2	4.87804878	0.022435444	"GSK3B, TP53"	41	11	19416	86.10199557	1	0.163265161	0.150695907
SMART	SM00125:IL1	2	4.87804878	0.022993892	"IL1A, IL1B"	32	8	10680	83.4375	0.46638685	0.214609663	0.214609663
GOTERM_CC_DIRECT	GO:0005764~lysosome	4	9.756097561	0.02363229	"APP, IL1B, LRRK2, LDLR"	41	319	20666	6.320360884	0.98243428	0.124808034	0.097483198
KEGG_PATHWAY	hsa05418:Fluid shear stress and atherosclerosis	4	9.756097561	0.023716108	"IL1A, IL1B, TNF, TP53"	40	141	8865	6.287234043	0.985711918	0.113677011	0.093767478
GOTERM_BP_DIRECT	GO:0008286~insulin receptor signaling pathway	3	7.317073171	0.023810656	"GSK3B, CSF1R, FGFR2"	41	116	19416	12.24726661	1	0.172235163	0.158975336
GOTERM_BP_DIRECT	GO:0032308~positive regulation of prostaglandin secretion	2	4.87804878	0.024450522	"IL1A, IL1B"	41	12	19416	78.92682927	1	0.172625298	0.159335436
GOTERM_BP_DIRECT	"GO:0001963~synaptic transmission, dopaminergic"	2	4.87804878	0.024450522	"DRD2, DRD4"	41	12	19416	78.92682927	1	0.172625298	0.159335436
