gene	log2FC	pvalue
CCDC51	-0.462040413	0.000842847
SYT12	0.76466214	0.528792619
ZC3H12D	-0.074590541	0.9595857
MAP3K9	0.116123657	0.888521301
MRPL23	-0.071558011	0.519761388
RPS19BP1	-0.2899742	0.00467276
MRPS16	0.000728877	0.994603081
CHTOP	0.0280261	0.790060122
ZNF248	0.584838458	0.000324917
SLK	-0.117647947	0.205298215
NR1D1	0.418404919	0.03783346
SMYD4	0.208151184	0.142770907
ZFP92	-0.934234208	0.242449611
CLU	0.188324458	0.058524943
INHBB	-3.450087631	1.87E-61
RNF7	-0.17942897	0.135619527
POLDIP2	-0.143590481	0.09959104
NCL	0.053111703	0.537997844
AURKA	0.355844652	0.206282446
PIK3R4	-0.104113919	0.369847536
PIH1D1	-0.158980076	0.15473905
CD3EAP	-0.47012563	0.248120894
PIMREG	-0.142896845	0.804359785
CPA6	0.711536582	0.027851065
COL12A1	0.244830463	0.003536561
MED15	-0.067089058	0.450003989
TTF2	0.274836088	0.045567042
ARID1B	0.13979959	0.088727378
FAM138E	1.30008525	0.080620572
ELF2	0.005697758	0.959102758
SRC	-0.22758874	0.018637008
CLTA	0.115338216	0.170683264
KDELR3	-0.187102158	0.039864655
ANKRD26	0.255273346	0.06588076
FAM184A	0.794761247	0.190960026
RAB15	0.170162688	0.215367504
DDR1	-0.00117794	0.991064894
MDH1	0.071530237	0.400358374
TSC2	0.071312084	0.444185782
ASAP1	-0.29125444	0.000131598
MED12	0.242201041	0.016213303
DIP2B	0.228004179	0.03982402
EPS15	-0.152726236	0.119330838
DHX8	-0.029105711	0.769994865
AKAP9	-0.061076562	0.526999735
FBXO45	-0.023008295	0.889212669
RPS15A	0.051446158	0.571754249
ZNF587B	0.156524938	0.460318786
PODXL2	0.578169123	0.099145533
STUB1	-0.088414541	0.449540909
TDRD7	-0.46591099	0.000760809
KLK14	0.315328962	0.824687162
CYP7B1	-1.250127818	0.015982291
ANXA9	0.063509533	0.782299128
SCUBE1	-0.501577834	0.09357097
BAIAP2	0.060118448	0.691300079
PRKG1	0.516403582	4.07E-08
TSPYL2	0.541140866	0.000472801
CLSTN1	-0.322512768	0.000113492
MGARP	-0.485580747	0.075334564
ARNTL	-0.724375681	2.00E-05
SPRY1	-0.363726305	0.005975841
NKRF	-0.267331758	0.10614173
TEAD2	0.71802389	9.27E-08
SEC23IP	-0.181081572	0.09429002
BHLHE41	0.224817919	0.365466056
SMIM19	-0.153687942	0.293199286
TMEM119	1.173067954	4.55E-27
ZPR1	-0.240746965	0.046048134
SGO2	0.22220102	0.252402001
SZT2	0.042831491	0.728637628
ABHD15	-0.655421925	1.25E-07
MARC2	-0.423706264	0.00135247
RNF26	-0.282056167	0.008881685
ZNF776	0.103364594	0.46414409
PLD6	-0.086658892	0.816435541
MCM9	0.25428048	0.117845216
NUB1	-0.170726939	0.085050436
LATS2	-0.081776749	0.332618113
NDUFB2-AS1	0.974951039	0.365731211
LOC107987479	0.776367462	0.118520012
LOC100268168	0.016187975	0.978123097
C9orf163	-0.615746673	0.542046617
TMEM200B	-0.787980334	4.49E-09
NFKBIA	-0.798762066	6.31E-06
ZNF706	0.159359134	0.124525665
RASA1	0.128390722	0.152232468
NPIPB8	0.178469984	0.541767413
INO80C	0.403232398	0.141099704
METRN	-0.243257564	0.087108566
RNASEH1-AS1	-0.031762456	0.89704145
GPCPD1	0.564908215	5.53E-06
COL6A1	0.107217371	0.191469862
AP3B1	-0.115039854	0.206317483
HMGN3	0.322435408	0.014828926
CLDND1	-0.50138271	3.67E-06
ZNF41	0.198363073	0.173607593
SORBS1	-1.897631448	1.56E-09
SARS	0.536452718	5.96E-09
TRIM16	0.614371014	0.000926468
SNAI3	1.113007197	0.188347234
EGLN3	0.992367895	0.017304719
NUDT11	0.115194126	0.477693106
IRF1	0.500120106	0.002621423
FAR2	-0.38982063	0.010977552
CCDC92	0.122681633	0.225093032
HLA-F-AS1	0.973308755	0.008227443
USP40	0.2966245	0.000822813
TUT1	0.028513077	0.879355935
LMO7DN-IT1	1.867290567	0.02143148
GOLGA4	0.128852921	0.141432604
NAP1L2	-0.839707419	0.003107807
C15orf61	-0.457857553	0.096529044
SLC31A1	-0.415069305	7.62E-05
CASP17P	0.677021307	0.090201715
LINC01239	-0.015280642	0.958825721
CCDC6	-0.078730953	0.384399491
FIG4	0.107617038	0.356482336
ARHGAP28	1.647417262	6.89E-24
SNAPC2	-0.396527688	0.003190106
B2M	0.114830751	0.171357147
GBP5	1.204537867	0.184629216
VAMP7	0.004926294	0.958775472
DHX33	-0.360901539	0.006265706
CDK15	0.394661248	0.11415292
CTH	-0.923468544	0.002483958
ADHFE1	-1.44423937	4.10E-18
USP19	-0.023626752	0.797851228
ECT2	-0.020340357	0.876861104
ZNF765	-0.123183546	0.458161217
MTFR1	-0.382268793	0.00624219
PIGO	0.200311658	0.122643173
EYA2	-0.080836645	0.679908479
TMEM39A	-0.16400313	0.110520095
AKR1A1	0.102943824	0.300666472
STX3	-0.107688314	0.487025548
RNF175	0.441457534	0.376188634
FPGT-TNNI3K	0.509570231	0.157984057
PLA2G6	-0.219301675	0.125436098
RCN1	0.078604372	0.374246833
PKD1P6-NPIPP1	-0.832038697	0.11358925
GPR85	0.681714331	0.061720047
SLC16A12	-4.122976351	1.25E-19
STX12	-0.945098667	2.15E-16
NBEAL2	-0.386349569	0.046083469
CHRAC1	-0.270353206	0.010611028
LOC100506083	-0.344887232	0.7637631
LRRC37A5P	0.052275766	0.934070309
WNK3	-0.353780617	0.290550878
LINC02257	0.893922076	0.488895727
ADNP-AS1	0.653958475	0.155031981
SIK2	-0.306219984	0.001615813
CNGA4	0.492669284	0.655110563
PDE3A	0.543587246	0.071475018
NDUFAF8	0.124694352	0.401681988
C5orf30	-0.329374934	0.056134108
TRAPPC6A	-0.259016848	0.22490269
SLC44A1	-0.318285475	0.002991822
COX7A2	-0.200953842	0.05777255
DDX55	0.058136489	0.685908956
GRASP	0.431001502	0.007323669
ZNF74	0.810031376	3.05E-06
CDC42SE1	-0.022738561	0.818366873
SAMD3	1.419668924	0.01025278
GOLGB1	0.152993741	0.054050702
IPMK	-0.64913358	6.10E-07
CHORDC1	-0.087393388	0.422755436
SLC6A16	0.871850606	0.022733555
CDH13	-0.330564233	0.038162215
PLGLA	-0.09934362	0.78865098
KHNYN	-0.254236266	0.006826282
IL18R1	0.156442171	0.6611115
TSR2	0.031234074	0.759770582
ZNF281	0.133574708	0.360646131
SIRPB1	-0.063171711	0.755795382
CARHSP1	-0.224206753	0.023419363
ARL5A	-0.152274261	0.164355939
DNM1L	-0.270210375	0.004679678
RNF157	-0.764644425	0.001329165
IGIP	-0.292207375	0.036090344
GDAP1	0.141895751	0.430695317
DYNC1H1	0.160872817	0.04767384
TMEM134	0.013591598	0.921612115
MYO5C	0.843237223	0.620502067
GPRIN3	0.680859302	0.654418453
TOMM7	-0.04362565	0.6350134
PLEKHA4	0.558065535	5.39E-05
HARS	-0.070836769	0.467168089
CREB3L1	0.983188559	4.81E-20
LOC101928120	0.126613953	0.929435571
EFCAB14-AS1	1.522501106	0.245354159
SIPA1L2	2.582690892	7.10E-22
RGS9	-0.382828792	0.319564307
SLC43A3	0.368536212	0.010475098
STOX2	1.022559183	0.000160923
CYP27C1	1.246602597	0.354130931
DBI	-0.209510243	0.043141834
KANK3	-0.531327765	0.432950437
ZNF711	0.61322426	0.221670534
TTC23	0.159436208	0.163314569
METTL22	-0.083998718	0.522248264
VCPKMT	-0.002222659	0.993023599
NDUFB3	-0.043372884	0.707972169
DOCK2	0.339179532	0.060364208
KPNA6	-0.148459531	0.086849032
TMEM70	-0.307245605	0.04183418
YIPF2	0.292572184	0.009004812
RETREG3	-0.290424026	0.006014461
AGAP9	0.413255089	0.008978992
POLR2A	-0.104437476	0.263707074
CTSS	0.978068578	0.000104558
FCRLA	1.997571543	0.240938803
ARPP19	-0.33809811	2.96E-05
RELB	0.328752142	0.098600376
SLC23A1	0.210273426	0.733913451
SDC1	0.848625092	2.54E-13
LINC01393	-1.079515976	0.291337518
TFB1M	0.005171557	0.981250374
PMEPA1	1.071336755	3.56E-08
BTG1	-0.445807538	0.000333718
SLC35B3	-0.133705066	0.312003267
AP1G1	-0.216085627	0.01454631
RFWD3	-0.09585576	0.472285149
NABP1	-0.376906163	0.016232051
NFIA	-0.247251669	0.037657182
CCDC3	-0.576219358	0.013335395
SGCD	1.136970286	8.02E-24
LDAH	0.221218921	0.079872536
EREG	0.20070997	0.857799404
SMG9	0.344320685	0.001180587
UNC79	0.261175361	0.6276076
BCKDHA	-0.394530369	0.85541695
POMGNT1	-0.158376323	0.10915444
ABLIM3	0.233406949	0.096220009
KCTD5	-0.066664954	0.617368477
ZNF596	0.577304038	0.00655863
CNTNAP3	-0.915000656	0.004956987
PRKACA	0.143407908	0.089074062
SMIM17	-0.012720338	0.990405694
S100A16	-0.016303882	0.880979135
MAGEH1	0.262247861	0.022806395
IRF9	0.273690442	0.345076633
TFPI2	0.094407843	0.648652346
ZSCAN5C	-1.137461394	0.381822952
XRCC4	-0.134945225	0.485527002
TAS2R4	0.440901227	0.621507136
PRPS2	-0.254115804	0.039699153
SSX2IP	0.327813919	0.127005227
SEC16B	0.840813179	0.35286465
SLC2A12	0.918616699	7.29E-19
TOX4	-0.002113187	0.981308906
LRFN3	-0.217879821	0.08962765
