title	year	length	budget	rating	votes	mpaa	genre	status
Time to Kill, A	1996	149	40	6.9	15577	R	Drama	yes
Titanic	1997	194	200	6.9	90195	PG-13	Romance Drama	yes
Tumbleweeds	1999	102	0.312	6.9	1146	PG-13	Comedy Drama	yes
Urbania	2000	106	0.225	6.9	1089	R	Drama	yes
Vanilla Sky	2001	136	68	6.9	31250	R	Romance Drama	yes
Walking Across Egypt	1999	100	4.5	6.9	247	PG-13	Drama	yes
White Oleander	2002	109	16	6.9	4545	PG-13	Drama	yes
Wilde	1997	118	10	6.9	2545	R	Drama	yes
50 First Dates	2004	99	75	6.8	13497	PG-13	RomCom	yes
8 Mile	2002	110	41	6.8	17900	R	Drama	yes
All the Real Girls	2003	108	1	6.8	1745	R	Romance Drama	yes
American Pie	1999	95	11	6.8	41126	R	Comedy	yes
American Psycho	2000	102	8	6.8	21639	R	Drama	yes
Artificial Intelligence: AI	2001	146	90	6.8	36623	PG-13	Drama	yes
Avalon	2001	106	8	6.8	2723	R	Animated	yes
Blade	1998	110	45	6.8	24372	R	Action	yes
Boiler Room	2000	118	9	6.8	8586	R	Drama	yes
Bread, My Sweet, The	2001	105	0.6	6.8	257	PG-13	Romance Drama	yes
Clockers	1995	129	25	6.8	3099	R	Drama	yes
Confidence	2003	97	15	6.8	6168	R	Drama	yes
Curse of the Jade Scorpion, The	2001	103	26	6.8	5846	PG-13	Comedy Drama	yes
Deep End, The	2001	101	3	6.8	3524	R	Drama	yes
Desperado	1995	106	7	6.8	17929	R	Action	yes
Dom durakov	2002	104	2.5	6.8	382	R	Drama	yes
From Dusk Till Dawn	1996	108	20	6.8	28473	R	Action Comedy	yes
Gift, The	2000	111	10	6.8	12440	R	Drama	yes
GoldenEye	1995	130	80	6.8	22991	PG-13	Action	yes
Happy Gilmore	1996	92	10	6.8	17746	PG-13	Comedy	yes
Importance of Being Earnest, The	2002	97	15	6.8	3598	PG	RomCom	yes
Intended, The	2002	110	3.8	6.8	40	R	Drama	yes
Keeping the Faith	2000	128	30	6.8	11351	PG-13	RomCom	yes
Lolita	1997	137	58	6.8	5757	R	Romance Drama	yes
Man from Elysian Fields, The	2001	106	6.5	6.8	1198	R	Drama	yes
Mask of Zorro, The	1998	136	65	6.8	18220	PG-13	Action Comedy	yes
May	2002	93	1.7	6.8	3324	R	Drama	yes
Men in Black	1997	98	90	6.8	53231	PG-13	Action Comedy	yes
Mudge Boy, The	2003	94	0.8	6.8	204	R	Drama	yes
Mute Witness	1994	95	2	6.8	1202	R	Comedy	yes
Nixon	1995	212	50	6.8	5837	R	Drama	yes
Othello	1995	123	11	6.8	1852	R	Drama	yes
Outsiders, The	1983	91	10	6.8	7125	PG-13	Drama	yes
Patriot, The	2000	164	110	6.8	29665	R	Action Drama	yes
Primary Colors	1998	143	65	6.8	7756	R	Comedy Drama	yes
Rainmaker, The	1997	135	40	6.8	8620	PG-13	Drama	yes
Rob Roy	1995	133	28	6.8	6652	R	Action Drama	yes
Rosewood	1997	140	31	6.8	1840	R	Action Drama	yes
Score, The	2001	124	68	6.8	16106	R	Drama	yes
Simon Birch	1998	113	20	6.8	4612	PG	Comedy Drama	yes
Spider	2002	94	8	6.8	5193	R	Drama	yes
Stripes	1981	106	10	6.8	7406	R	Comedy	yes
Veronica Guerin	2003	92	17	6.8	2688	R	Drama	yes
Walk to Remember, A	2002	101	11	6.8	7124	PG	Romance Drama	yes
Welcome to Sarajevo	1997	103	9	6.8	1465	R	Drama	yes
Without Limits	1998	117	25	6.8	1249	PG-13	Drama	yes
10 Things I Hate About You	1999	97	16	6.7	19095	PG-13	RomCom	yes
Auto Focus	2002	105	7	6.7	3276	R	Drama	yes
Bandits	2001	123	80	6.7	12382	PG-13	RomCom	yes
Beyond the Sea	2004	118	24	6.7	1051	PG-13	Drama	yes
Breakdown	1997	95	36	6.7	7099	R	Action	yes
Bringing Out the Dead	1999	121	32	6.7	13989	R	Drama	yes
Brother from Another Planet, The	1984	106	0.3	6.7	1133	R	Comedy Drama	yes
Clueless	1995	97	20	6.7	16521	PG-13	RomCom	yes
Cop Land	1997	116	15	6.7	12677	R	Drama	yes
Courage Under Fire	1996	117	46	6.7	8884	R	Action Drama	yes
Cradle Will Rock	1999	132	32	6.7	3375	R	Drama	yes
Emperor's Club, The	2002	109	12.5	6.7	3056	PG-13	Drama	yes
Friday	1995	91	3.5	6.7	7020	R	Comedy Drama	yes
Hearts in Atlantis	2001	101	31	6.7	6577	PG-13	Drama	yes
Hellboy	2004	132	66	6.7	15565	PG-13	Action	yes
Hit and Runway	1999	108	1.2	6.7	189	R	Comedy	yes
How Harry Became a Tree	2001	99	6	6.7	115	R	Drama	yes
Interview with the Assassin	2002	88	0.75	6.7	409	R	Drama	yes
Jerry and Tom	1998	106	5	6.7	447	R	Comedy Drama	yes
Jing cha gu shi III: Chao ji jing cha	1992	95	0.9	6.7	2024	R	Action Comedy	yes
Lemony Snicket's A Series of Unfortunate Events	2004	108	125	6.7	8402	PG	Comedy	yes
Love & Basketball	2000	124	15	6.7	2093	PG-13	Romance Drama	yes
Majestic, The	2001	156	72	6.7	8649	PG	Romance Drama	yes
Next Stop Wonderland	1998	104	1	6.7	1467	R	RomCom	yes
Old School	2003	92	24	6.7	14283	R	Comedy	yes
Otra conquista, La	1998	106	3.5	6.7	140	R	Drama	yes
Pay It Forward	2000	123	40	6.7	13531	PG-13	Romance Drama	yes
Raising Victor Vargas	2002	88	0.8	6.7	1785	R	RomCom	yes
Ravenous	1999	108	12	6.7	5915	R	Comedy Drama	yes
Romeo + Juliet	1996	120	14.5	6.7	22306	PG-13	Action Drama	yes
Rules of Attraction, The	2002	110	4	6.7	8552	R	RomCom	yes
Rush Hour	1998	93	35	6.7	18336	PG-13	Action Comedy	yes
Shanghai Noon	2000	110	55	6.7	12258	PG-13	Action Comedy	yes
Snow Falling on Cedars	1999	127	36	6.7	4536	PG-13	Drama	yes
Spanglish	2004	130	80	6.7	4698	PG-13	RomCom	yes
Starship Troopers	1997	129	95	6.7	32618	R	Action	yes
Tea with Mussolini	1999	117	12	6.7	2711	PG	Comedy Drama	yes
Thomas Crown Affair, The	1999	113	48	6.7	17220	R	RomCom	yes
Under the Tuscan Sun	2003	113	18	6.7	4183	PG-13	RomCom	yes
X Files, The	1998	121	66	6.7	18314	PG-13	Action	yes
Analyze This	1999	109	30	6.6	24521	R	Comedy	yes
Anna and the King	1999	148	75	6.6	6739	PG-13	Romance Drama	yes
Barbershop	2002	102	12	6.6	4943	PG-13	Comedy Drama	yes
Blade II	2002	108	55	6.6	17139	R	Action	yes
Blue Hill Avenue	2001	120	1.2	6.6	85	R	Drama	yes
Changing Lanes	2002	99	45	6.6	12779	R	Drama	yes
Chuck&Buck	2000	96	0.25	6.6	1919	R	Comedy Drama	yes
Coach Carter	2005	136	30	6.6	1636	PG-13	Drama	yes
Dark Blue	2002	118	15	6.6	3882	R	Action Drama	yes
Dodgeball: A True Underdog Story	2004	92	20	6.6	14584	PG-13	Comedy	yes
Dumb & Dumber	1994	101	16	6.6	27713	PG-13	Comedy	yes
Fever Pitch	2005	98	39.69	6.6	1712	PG-13	RomCom	yes
Finding Graceland	1998	106	10	6.6	504	PG-13	Drama	yes
Firm, The	1993	154	42	6.6	14708	R	Drama	yes
Get on the Bus	1996	120	2.4	6.6	1142	R	Drama	yes
He Got Game	1998	137	25	6.6	4198	R	Drama	yes
Hidalgo	2004	136	78	6.6	7328	PG-13	Action Drama	yes
Hurricane	1997	91	0.5	6.6	424	R	Drama	yes
Interpreter, The	2005	128	80	6.6	4678	PG-13	Drama	yes
Intolerable Cruelty	2003	100	60	6.6	11967	PG-13	RomCom	yes
James and the Giant Peach	1996	79	38	6.6	3144	PG	Animated	yes
K-19: The Widowmaker	2002	140	100	6.6	8292	PG-13	Drama	yes
Kingpin	1996	117	25	6.6	10643	PG-13	Comedy	yes
Love Liza	2002	90	1	6.6	1588	R	Drama	yes
Meet Joe Black	1998	178	90	6.6	16796	PG-13	Romance Drama	yes
Men of Honor	2000	129	32	6.6	9684	R	Drama	yes
Mission: Impossible	1996	110	75	6.6	33496	PG-13	Action	yes
Molly Maguires, The	1970	124	11	6.6	455	PG	Drama	yes
Music of the Heart	1999	124	27	6.6	2348	PG	Drama	yes
National Treasure	2004	131	100	6.6	12361	PG	Action	yes
No Way Home	1996	99	4	6.6	328	R	Drama	yes
Nurse Betty	2000	110	24	6.6	10441	R	RomCom	yes
Poolhall Junkies	2002	94	4	6.6	1411	R	Drama	yes
Private Parts	1997	109	20	6.6	9289	R	Comedy Drama	yes
Ransom	1996	139	80	6.6	17678	R	Action Drama	yes
Restoration	1995	117	18	6.6	1874	R	Drama	yes
Ripley's Game	2002	112	30	6.6	2680	R	Drama	yes
Serendipity	2001	90	28	6.6	10795	PG-13	RomCom	yes
Session 9	2001	97	1.5	6.6	3718	R	Drama	yes
Seven Years in Tibet	1997	139	70	6.6	9426	PG-13	Drama	yes
Shooting Fish	1997	103	3	6.6	2701	PG	RomCom	yes
Steamboy	2004	126	20	6.6	529	PG-13	Animated	yes
Sum of All Fears, The	2002	123	68	6.6	15835	PG-13	Action Drama	yes
Swiri	1999	125	5	6.6	1704	R	Action	yes
Things to Do in Denver When You're Dead	1995	115	8	6.6	5703	R	Romance Drama	yes
Treasure Planet	2002	95	140	6.6	3724	PG	Animated	yes
Unfaithful	2002	125	50	6.6	8713	R	Drama	yes
Village, The	2004	108	60	6.6	25729	PG-13	Drama	yes
Walk on the Moon, A	1999	105	14	6.6	1815	R	Romance Drama	yes
Walking and Talking	1996	86	1	6.6	888	R	RomCom	yes
War and Peace	1956	208	6	6.6	795	PG	Romance Drama	yes
What Lies Beneath	2000	130	90	6.6	20584	PG-13	Drama	yes
Anchorman: The Legend of Ron Burgundy	2004	104	26	6.5	11553	PG-13	Comedy	yes
Anything Else	2003	108	18	6.5	3678	R	RomCom	yes
Austin Powers: The Spy Who Shagged Me	1999	95	33	6.5	37019	PG-13	Action Comedy	yes
Cherish	2002	99	1.5	6.5	743	R	Comedy Drama	yes
Copycat	1995	123	20	6.5	7804	R	Drama	yes
Crazy/Beautiful	2001	135	14	6.5	4503	PG-13	Romance Drama	yes
Cruel Intentions	1999	97	11	6.5	25634	R	Romance Drama	yes
Ella Enchanted	2004	96	35	6.5	2502	PG	RomCom	yes
Eulogy	2004	91	10	6.5	773	R	Comedy Drama	yes
Family Man, The	2000	125	60	6.5	11220	PG-13	RomCom	yes
Final Fantasy: The Spirits Within	2001	106	137	6.5	16451	PG-13	Animated	yes
Freeway	1996	102	3	6.5	4961	R	Drama	yes
Grace of My Heart	1996	116	5	6.5	982	R	Comedy Drama	yes
Home at the End of the World, A	2004	96	6.5	6.5	1693	R	Romance Drama	yes
Hong faan kui	1996	91	7.5	6.5	4644	R	Action Comedy	yes
House of Yes, The	1997	85	1.5	6.5	2345	R	Comedy Drama	yes
Incredibly True Adventure of Two Girls in Love, The	1995	94	0.25	6.5	795	R	RomCom	yes
Knight's Tale, A	2001	132	41	6.5	15006	PG-13	Action Comedy	yes
Liar Liar	1997	86	45	6.5	22969	PG-13	Comedy	yes
Living Out Loud	1998	103	12	6.5	1774	R	RomCom	yes
Long Kiss Goodnight, The	1996	120	65	6.5	12516	R	Action Drama	yes
Love and Other Catastrophes	1996	78	0.25	6.5	783	R	RomCom	yes
Made	2001	94	5	6.5	4487	R	Comedy Drama	yes
Marvin's Room	1996	98	23	6.5	4005	PG-13	Comedy Drama	yes
Matilda	1996	102	36	6.5	4351	PG	Comedy Drama	yes
Meet the Fockers	2004	115	80	6.5	11950	PG-13	Comedy	yes
Mummy, The	1999	124	76	6.5	36216	PG-13	Action Comedy	yes
Other Side of Heaven, The	2001	113	7	6.5	683	PG	Drama	yes
Paint Your Wagon	1969	158	20	6.5	2011	PG-13	Comedy	yes
Rat Race	2001	112	48	6.5	13913	PG-13	Comedy	yes
Rundown, The	2003	104	85	6.5	8067	PG-13	Action Comedy	yes
Rush Hour 2	2001	86	90	6.5	16581	PG-13	Action Comedy	yes
Shade	2003	101	6.8	6.5	1616	R	Drama	yes
Sidewalks of New York	2001	108	1	6.5	1998	R	RomCom	yes
Sinbad: Legend of the Seven Seas	2003	86	60	6.5	2340	PG	Animated	yes
Sky Captain and the World of Tomorrow	2004	106	40	6.5	12579	PG	Action	yes
Small Time Crooks	2000	94	18	6.5	6218	PG	RomCom	yes
Soul Food	1997	114	7.5	6.5	1166	R	Comedy Drama	yes
SpongeBob SquarePants Movie, The	2004	90	30	6.5	2672	PG	Animated	yes
Star Trek: Nemesis	2002	116	70	6.5	11785	PG-13	Action Drama	yes
Summer of Sam	1999	142	22	6.5	8151	R	Romance Drama	yes
THX 1138	1971	88	0.777	6.5	4274	R	Drama	yes
Tuck Everlasting	2002	96	15	6.5	2055	PG	Romance Drama	yes
Twin Peaks: Fire Walk with Me	1992	135	10	6.5	6927	R	Drama	yes
U Turn	1997	125	19	6.5	10306	R	Drama	yes
U-571	2000	116	62	6.5	15792	PG-13	Action Drama	yes
While You Were Sleeping	1995	103	17	6.5	13035	PG	RomCom	yes
13 Going On 30	2004	98	37	6.4	7859	PG-13	RomCom	yes
Absolute Power	1997	121	50	6.4	7995	R	Drama	yes
Ali	2001	165	107	6.4	9294	R	Drama	yes
Any Given Sunday	1999	156	62	6.4	19531	R	Drama	yes
Apt Pupil	1998	112	14	6.4	6728	R	Drama	yes
Atlantis: The Lost Empire	2001	95	90	6.4	6323	PG	Animated	yes
Bad Boys	1995	118	23	6.4	15326	R	Action Comedy	yes
Beyond Rangoon	1995	100	23	6.4	1285	R	Drama	yes
Big Trouble	2002	85	40	6.4	4088	PG-13	Comedy	yes
Blast from the Past	1999	112	35	6.4	9483	PG-13	RomCom	yes
Bowfinger	1999	97	55	6.4	15000	PG-13	Comedy	yes
Brothers McMullen, The	1995	98	0.0238	6.4	2325	R	Comedy Drama	yes
Bruce Almighty	2003	101	81	6.4	23905	PG-13	RomCom	yes
Cellular	2004	94	25	6.4	6182	PG-13	Action	yes
Civil Action, A	1998	112	60	6.4	6847	PG-13	Drama	yes
Clay Pigeons	1998	104	8	6.4	2658	R	Comedy Drama	yes
Code 46	2003	92	7.5	6.4	2094	R	Romance Drama	yes
Conspiracy Theory	1997	135	75	6.4	15470	R	Romance Drama	yes
CQ	2001	91	7	6.4	1315	R	Comedy Drama	yes
Dancing in September	2000	102	0.85	6.4	166	R	Drama	yes
Die Another Day	2002	133	142	6.4	22136	PG-13	Action	yes
Drive	1997	117	3.5	6.4	1086	R	Action Comedy	yes
Game of Their Lives, The	2005	101	20	6.4	125	PG	Drama	yes
Ghost and the Darkness, The	1996	109	55	6.4	8360	R	Action Drama	yes
God's Army	2000	108	0.3	6.4	354	PG	Drama	yes
Happy, Texas	1999	98	1.7	6.4	3453	PG-13	Comedy	yes
Horse Whisperer, The	1998	170	60	6.4	6744	PG-13	Romance Drama	yes
Incident at Loch Ness	2004	94	1.4	6.4	251	PG-13	Comedy	yes
Intermission	2003	102	5	6.4	1971	R	Comedy Drama	yes
Jersey Girl	2004	102	35	6.4	6853	PG-13	Comedy Drama	yes
John Q	2002	116	36	6.4	8952	PG-13	Drama	yes
Kiss the Girls	1997	111	27	6.4	9041	R	Drama	yes
Ladykillers, The	2004	104	35	6.4	10580	R	Comedy	yes
Last Castle, The	2001	131	60	6.4	7233	R	Action Drama	yes
Legally Blonde	2001	96	18	6.4	17572	PG-13	Comedy	yes
Legend of Bagger Vance, The	2000	126	60	6.4	7123	PG-13	RomCom	yes
Levity	2003	100	7.5	6.4	1459	R	Drama	yes
Life Less Ordinary, A	1997	103	12	6.4	8209	R	RomCom	yes
Midnight in the Garden of Good and Evil	1997	155	30	6.4	8517	R	Drama	yes
Mutant Aliens	2001	81	0.2	6.4	223	R	Animated	yes
My Best Friend's Wedding	1997	105	46	6.4	16648	PG-13	RomCom	yes
Mystery, Alaska	1999	119	28	6.4	5440	R	Comedy Drama	yes
Outbreak	1995	127	50	6.4	13796	R	Drama	yes
Pecker	1998	87	6	6.4	4013	R	Comedy	yes
Primer	2004	77	0.007	6.4	1466	PG-13	Drama	yes
Rare Birds	2001	99	5	6.4	471	R	Comedy Drama	yes
Robots	2005	91	75	6.4	4089	PG	Animated	yes
Slums of Beverly Hills	1998	92	5	6.4	2914	R	Comedy Drama	yes
Star Wars: Episode I - The Phantom Menace	1999	133	115	6.4	84488	PG	Action	yes
Titan A.E.	2000	94	75	6.4	9373	PG	Animated	yes
Tomorrow Never Dies	1997	119	110	6.4	19397	PG-13	Action	yes
Under Suspicion	2000	111	25	6.4	3718	R	Drama	yes
Vatel	2000	125	36	6.4	1322	PG-13	Romance Drama	yes
What Women Want	2000	127	65	6.4	20138	PG-13	RomCom	yes
Where the Heart Is	2000	120	15	6.4	5042	PG-13	RomCom	yes
White Squall	1996	129	38	6.4	3445	PG-13	Drama	yes
Wicker Park	2004	114	30	6.4	3143	PG-13	Romance Drama	yes
Your Friends & Neighbors	1998	100	5	6.4	2659	R	Comedy Drama	yes
Air Force One	1997	124	85	6.3	26156	R	Action Drama	yes
American Pie 2	2001	105	30	6.3	22752	R	Comedy	yes
American Wedding	2003	103	55	6.3	13590	R	Comedy	yes
Assault on Precinct 13	2005	109	20	6.3	2960	R	Action Drama	yes
Badge, The	2002	103	6	6.3	740	R	Action Drama	yes
Bamboozled	2000	135	10	6.3	2356	R	Comedy Drama	yes
Basket, The	1999	105	3	6.3	200	PG	Drama	yes
Best Laid Plans	1999	92	7	6.3	1795	R	Drama	yes
Blood Work	2002	110	50	6.3	5965	R	Drama	yes
Bride & Prejudice	2004	122	7	6.3	1503	PG-13	RomCom	yes
City by the Sea	2002	108	60	6.3	4886	R	Drama	yes
Crime Spree	2003	98	10	6.3	953	R	Comedy	yes
Day After Tomorrow, The	2004	124	125	6.3	23749	PG-13	Action Drama	yes
Dead Presidents	1995	119	15	6.3	2641	R	Action Drama	yes
Death to Smoochy	2002	109	55	6.3	8003	R	Comedy	yes
Defender, The	2004	90	6	6.3	58	R	Action	yes
Dick	1999	94	13	6.3	5004	PG-13	Comedy	yes
Dinosaur	2000	82	127.5	6.3	5839	PG	Animated	yes
Feng yun xiong ba tian xia	1998	85	10	6.3	922	PG-13	Action	yes
Goat on Fire and Smiling Fish	1999	90	0.04	6.3	254	R	RomCom	yes
Guinevere	1999	104	2.6	6.3	804	R	Romance Drama	yes
Hollywood Ending	2002	112	16	6.3	3673	PG-13	Comedy Drama	yes
Kate & Leopold	2001	123	48	6.3	8060	PG-13	RomCom	yes
Keane	2004	100	0.85	6.3	34	R	Drama	yes
Lethal Weapon 4	1998	127	140	6.3	17758	R	Action Comedy	yes
Love Object	2003	88	1	6.3	427	R	Comedy	yes
Lucky Break	2001	108	6	6.3	707	PG-13	Comedy	yes
Matrix Revolutions, The	2003	125	110	6.3	40058	R	Action	yes
Mindhunters	2004	102	27	6.3	3925	R	Action	yes
Muertos de risa	1999	111	3.5	6.3	334	R	Comedy	yes
My Fellow Americans	1996	101	21.5	6.3	2752	PG-13	Comedy	yes
Nochnoy dozor	2004	115	4.2	6.3	1020	R	Action	yes
O	2001	95	5	6.3	4555	R	Romance Drama	yes
One Eight Seven	1997	119	23	6.3	2958	R	Drama	yes
Onegin	1999	106	14	6.3	1327	R	Romance Drama	yes
Phenomenon	1996	123	32	6.3	12075	PG	Romance Drama	yes
Proof of Life	2000	135	65	6.3	9592	R	Action Drama	yes
Road to El Dorado, The	2000	89	95	6.3	2838	PG	Animated	yes
Road Trip	2000	94	15.6	6.3	15981	R	Comedy	yes
Rules of Engagement	2000	128	60	6.3	7903	R	Drama	yes
Secret Window	2004	96	40	6.3	13260	PG-13	Drama	yes
Serial Mom	1994	95	13	6.3	4750	R	Comedy	yes
Shanghai Knights	2003	114	50	6.3	7279	PG-13	Action Comedy	yes
Shot at Glory, A	2000	114	9	6.3	286	R	Drama	yes
Smilla's Sense of Snow	1997	120	35	6.3	3722	R	Action Drama	yes
Solaris	2002	99	47	6.3	11808	PG-13	Romance Drama	yes
Star Trek: Insurrection	1998	103	58	6.3	13395	PG	Action Drama	yes
Starsky & Hutch	2004	101	60	6.3	13529	PG-13	Action Comedy	yes
Super Troopers	2001	100	3	6.3	7728	R	Comedy	yes
Tadpole	2002	78	0.15	6.3	1769	PG-13	RomCom	yes
What Dreams May Come	1998	113	85	6.3	11706	PG-13	Romance Drama	yes
Wimbledon	2004	98	31	6.3	4297	PG-13	RomCom	yes
Work and the Glory, The	2004	118	7.5	6.3	180	PG	Romance Drama	yes
World Is Not Enough, The	1999	128	135	6.3	24205	PG-13	Action	yes
Yards, The	2000	115	20	6.3	3386	R	Drama	yes
Ace Ventura: Pet Detective	1994	86	12	6.2	20705	PG-13	Comedy	yes
Austin Powers in Goldmember	2002	94	63	6.2	22870	PG-13	Action Comedy	yes
Baby Boy	2001	130	16	6.2	1476	R	Romance Drama	yes
Ballad of Jack and Rose, The	2005	112	1.5	6.2	269	R	Drama	yes
Basic	2003	98	50	6.2	8370	R	Drama	yes
Beavis and Butt-Head Do America	1996	81	12	6.2	9491	PG-13	Animated	yes
Bicentennial Man	1999	132	100	6.2	8925	PG	Romance Drama	yes
Bone Collector, The	1999	118	48	6.2	17766	R	Drama	yes
But I'm a Cheerleader	1999	85	1.2	6.2	3897	R	RomCom	yes
Can't Hardly Wait	1998	101	10	6.2	8191	PG-13	RomCom	yes
Chronicles of Riddick, The	2004	135	110	6.2	11438	PG-13	Action	yes
City of Angels	1998	114	55	6.2	15333	PG-13	Romance Drama	yes
Company, The	2003	112	15	6.2	1505	PG-13	Drama	yes
Don't Say a Word	2001	113	50	6.2	10098	R	Drama	yes
Edtv	1999	122	60	6.2	10085	PG-13	Comedy	yes
Emmett's Mark	2002	104	4.5	6.2	427	R	Drama	yes
Evita	1996	134	55	6.2	8371	PG	Drama	yes
Four Feathers, The	2002	125	80	6.2	4400	PG-13	Drama	yes
Grumpier Old Men	1995	101	25	6.2	3711	PG-13	RomCom	yes
Hart's War	2002	125	70	6.2	6368	R	Drama	yes
Heart of Me, The	2002	96	7	6.2	336	R	Romance Drama	yes
Heartbreakers	2001	110	40	6.2	8037	PG-13	RomCom	yes
High Strung	1991	93	0.3	6.2	391	PG	Comedy	yes
I Married a Strange Person!	1997	74	0.25	6.2	391	R	Animated	yes
I'm with Lucy	2002	90	15	6.2	646	R	RomCom	yes
In & Out	1997	92	35	6.2	10352	PG-13	Comedy	yes
Just Looking	1999	97	3	6.2	436	R	Comedy	yes
Kiss of the Dragon	2001	98	25	6.2	7887	R	Action Drama	yes
Love Story	1970	99	2.2	6.2	2844	PG	Romance Drama	yes
Miss Congeniality	2000	109	45	6.2	16235	PG-13	Comedy	yes
Northfork	2003	103	1.9	6.2	1521	PG-13	Drama	yes
Osmosis Jones	2001	95	75	6.2	3410	PG	Animated	yes
Pandaemonium	2000	124	15	6.2	244	PG-13	Drama	yes
Perfect Storm, The	2000	130	120	6.2	24946	PG-13	Action Drama	yes
Powerpuff Girls, The	2002	73	10	6.2	1334	PG	Animated	yes
Price of Glory	2000	118	10	6.2	265	PG-13	Drama	yes
Prozac Nation	2001	99	9	6.2	940	R	Drama	yes
Punisher, The	2004	124	33	6.2	9989	R	Action	yes
Replacements, The	2000	114	50	6.2	7617	PG-13	Comedy	yes
Resident Evil	2002	100	35	6.2	18978	R	Action	yes
Riding in Cars with Boys	2001	132	48	6.2	4627	PG-13	Comedy Drama	yes
Six-String Samurai	1998	91	2	6.2	1163	PG-13	Action	yes
Snitch	1998	90	11	6.2	412	R	Action Drama	yes
Spun	2002	106	2.8	6.2	3924	R	Comedy Drama	yes
Stark Raving Mad	2002	102	5	6.2	601	R	Comedy	yes
Stolen Summer	2002	91	1.5	6.2	801	PG	Drama	yes
Swordfish	2001	99	80	6.2	20455	R	Action	yes
Tears of the Sun	2003	121	70	6.2	8690	R	Action Drama	yes
Timecode	2000	97	4	6.2	2320	R	Comedy Drama	yes
Tin Cup	1996	135	45	6.2	7521	R	RomCom	yes
Walk in the Clouds, A	1995	102	20	6.2	4085	PG-13	Romance Drama	yes
Where the Money Is	2000	89	18	6.2	1461	PG-13	Comedy Drama	yes
Where's Marlowe?	1998	97	3.5	6.2	188	R	Comedy	yes
Willard	2003	100	22	6.2	2913	PG-13	Comedy Drama	yes
Wood, The	1999	102	6	6.2	1170	R	RomCom	yes
You've Got Mail	1998	119	65	6.2	20053	PG	RomCom	yes
13th Warrior, The	1999	102	85	6.1	14344	R	Action	yes
15 Minutes	2001	120	42	6.1	10866	R	Drama	yes
51st State, The	2001	92	28	6.1	6752	R	Action Comedy	yes
Along Came a Spider	2001	104	28	6.1	9456	R	Drama	yes
Bad Boys II	2003	145	130	6.1	13087	R	Action Comedy	yes
Basil	1998	113	10	6.1	367	R	Romance Drama	yes
Behind Enemy Lines	2001	106	40	6.1	10856	PG-13	Action Drama	yes
Beyond Re-Animator	2003	96	3	6.1	908	R	Comedy	yes
Big Tease, The	1999	86	4	6.1	670	R	Comedy	yes
Birthday Girl	2001	93	13	6.1	5340	R	RomCom	yes
Bring It On	2000	98	10	6.1	11784	PG-13	Comedy	yes
Broken Vessels	1998	90	0.6	6.1	223	R	Drama	yes
Celebrity	1998	113	12	6.1	4820	R	Comedy	yes
Chain of Fools	2000	96	20	6.1	845	R	Comedy	yes
City Hall	1996	111	40	6.1	4381	R	Drama	yes
Crazy in Alabama	1999	111	15	6.1	2086	PG-13	Comedy Drama	yes
Entrapment	1999	113	66	6.1	18543	PG-13	RomCom	yes
EuroTrip	2004	90	25	6.1	8390	R	Comedy	yes
Everlasting Piece, An	2000	103	14	6.1	475	R	Comedy	yes
Flawless	1999	112	27	6.1	3287	R	Comedy Drama	yes
For Love of the Game	1999	137	50	6.1	5782	PG-13	Romance Drama	yes
Freddy Vs. Jason	2003	97	25	6.1	11109	R	Action	yes
General's Daughter, The	1999	116	60	6.1	11128	R	Drama	yes
Heart of America	2003	87	3	6.1	204	R	Drama	yes
Hideous Kinky	1998	98	12	6.1	1615	R	Drama	yes
High Crimes	2002	115	42	6.1	6043	PG-13	Drama	yes
How to Lose a Guy in 10 Days	2003	116	50	6.1	9257	PG-13	RomCom	yes
Hulk	2003	138	120	6.1	20710	PG-13	Action Drama	yes
Independence Day	1996	153	75	6.1	61831	PG-13	Action	yes
Instinct	1999	126	55	6.1	6298	R	Drama	yes
Kid, The	2000	104	65	6.1	5418	PG	Comedy Drama	yes
Looney Tunes: Back in Action	2003	91	80	6.1	2559	PG	Animated	yes
Losing Isaiah	1995	111	17	6.1	794	R	Drama	yes
Mars Attacks!	1996	106	70	6.1	27363	PG-13	Action Comedy	yes
Mona Lisa Smile	2003	117	65	6.1	6838	PG-13	RomCom	yes
Montana	1998	92	4	6.1	417	R	Action Drama	yes
Mummy Returns, The	2001	130	98	6.1	23551	PG-13	Action	yes
Open Water	2003	79	0.13	6.1	7204	R	Drama	yes
Orange County	2002	82	18	6.1	8526	PG-13	Comedy Drama	yes
Outside Providence	1999	96	7	6.1	2735	R	RomCom	yes
Patch Adams	1998	115	50	6.1	12110	PG-13	Comedy Drama	yes
Paycheck	2003	119	60	6.1	10383	PG-13	Action	yes
Sabrina	1995	127	58	6.1	7547	PG	RomCom	yes
Safe Men	1998	88	1	6.1	590	R	Comedy	yes
Save the Last Dance	2001	112	13	6.1	7613	PG-13	Romance Drama	yes
Selena	1997	127	20	6.1	2870	PG	Drama	yes
Set It Off	1996	123	9	6.1	1619	R	Action Drama	yes
Shallow Hal	2001	113	40	6.1	13217	PG-13	RomCom	yes
Sleeping Dictionary, The	2003	109	12	6.1	696	R	Romance Drama	yes
Statement, The	2003	120	23	6.1	710	R	Drama	yes
Stepmom	1998	124	50	6.1	7470	PG-13	Comedy Drama	yes
